depth (m abs)	year
2.685	1799.409564
2.686	1799.407431
2.687	1799.405297
2.688	1799.403164
2.689	1799.401031
2.69	1799.398898
2.691	1799.396764
2.692	1799.394632
2.693	1799.392499
2.694	1799.390365
2.695	1799.388232
2.696	1799.386099
2.697	1799.383966
2.698	1799.381833
2.699	1799.379699
2.7	1799.377567
2.701	1799.375433
2.702	1799.3733
2.703	1799.371167
2.704	1799.369034
2.705	1799.366901
2.706	1799.364767
2.707	1799.362634
2.708	1799.360502
2.709	1799.358368
2.71	1799.356235
2.711	1799.354101
2.712	1799.351969
2.713	1799.349836
2.714	1799.347702
2.715	1799.345569
2.716	1799.343436
2.717	1799.341303
2.718	1799.33917
2.719	1799.337036
2.72	1799.334904
2.721	1799.33277
2.722	1799.330637
2.723	1799.328504
2.724	1799.326371
2.725	1799.324238
2.726	1799.322104
2.727	1799.319972
2.728	1799.317839
2.729	1799.315705
2.73	1799.313572
2.731	1799.311439
2.732	1799.309306
2.733	1799.307173
2.734	1799.305039
2.735	1799.302907
2.736	1799.300773
2.737	1799.29864
2.738	1799.296507
2.739	1799.294374
2.74	1799.292241
2.741	1799.290107
2.742	1799.287974
2.743	1799.285842
2.744	1799.283708
2.745	1799.281575
2.746	1799.279441
2.747	1799.277309
2.748	1799.275176
2.749	1799.273042
2.75	1799.270909
2.751	1799.268776
2.752	1799.266643
2.753	1799.26451
2.754	1799.262376
2.755	1799.260244
2.756	1799.25811
2.757	1799.255977
2.758	1799.253844
2.759	1799.251711
2.76	1799.249578
2.761	1799.247444
2.762	1799.245312
2.763	1799.243178
2.764	1799.241045
2.765	1799.238912
2.766	1799.236779
2.767	1799.234646
2.768	1799.232512
2.769	1799.230379
2.77	1799.228247
2.771	1799.226113
2.772	1799.22398
2.773	1799.221846
2.774	1799.219714
2.775	1799.217581
2.776	1799.215447
2.777	1799.213314
2.778	1799.211181
2.779	1799.209048
2.78	1799.206915
2.781	1799.204781
2.782	1799.202649
2.783	1799.200515
2.784	1799.198382
2.785	1799.196249
2.786	1799.194116
2.787	1799.191983
2.788	1799.189849
2.789	1799.187716
2.79	1799.185584
2.791	1799.18345
2.792	1799.181317
2.793	1799.179184
2.794	1799.177051
2.795	1799.174918
2.796	1799.172784
2.797	1799.170652
2.798	1799.168518
2.799	1799.166385
2.8	1799.164252
2.801	1799.162119
2.802	1799.159986
2.803	1799.157852
2.804	1799.155719
2.805	1799.153587
2.806	1799.151453
2.807	1799.14932
2.808	1799.147186
2.809	1799.145054
2.81	1799.142921
2.811	1799.140787
2.812	1799.138654
2.813	1799.136521
2.814	1799.134388
2.815	1799.132255
2.816	1799.130121
2.817	1799.127989
2.818	1799.125855
2.819	1799.123722
2.82	1799.121589
2.821	1799.119397
2.822	1799.117205
2.823	1799.115013
2.824	1799.112821
2.825	1799.110629
2.826	1799.108437
2.827	1799.106246
2.828	1799.104054
2.829	1799.101861
2.83	1799.099669
2.831	1799.097477
2.832	1799.095285
2.833	1799.093093
2.834	1799.090902
2.835	1799.08871
2.836	1799.086518
2.837	1799.084325
2.838	1799.082133
2.839	1799.079941
